Date,MMM,AAPL,CAT,MMM,AAPL,CAT,MMM
2006-01-03,79.11,10.68,57.8,79.11,10.68,57.8,79.11
2006-01-04,78.71,10.71,59.27,78.71,10.71,59.27,78.71
2006-01-05,77.99,10.63,59.27,77.99,10.63,59.27,77.99
2006-01-06,78.63,10.9,60.45,78.63,10.9,60.45,78.63
2006-01-09,79.02,10.86,61.55,79.02,10.86,61.55,79.02
2006-01-10,78.53,11.55,61.3,78.53,11.55,61.3,78.53
2006-01-11,78.37,11.99,61.33,78.37,11.99,61.33,78.37
2006-01-12,77.7,12.04,62.21,77.7,12.04,62.21,77.7
2006-01-13,77.5,12.23,62.33,77.5,12.23,62.33,77.5
2006-01-17,77.09,12.1,62.96,77.09,12.1,62.96,77.09
2006-01-18,76.99,11.78,62.33,76.99,11.78,62.33,76.99
2006-01-19,76.91,11.29,62.51,76.91,11.29,62.51,76.91
2006-01-20,75.24,10.87,60.78,75.24,10.87,60.78,75.24
2006-01-23,75.7,11.1,61.04,75.7,11.1,61.04,75.7
2006-01-24,74.2,10.86,61.35,74.2,10.86,61.35,74.2
2006-01-25,73,10.6,62.07,73,10.6,62.07,73
2006-01-26,72.7,10.33,65.17,72.7,10.33,65.17,72.7
2006-01-27,72.65,10.29,67.53,72.65,10.29,67.53,72.65
2006-01-30,72.65,10.71,67.01,72.65,10.71,67.01,72.65
2006-01-31,72.75,10.79,67.9,72.75,10.79,67.9,72.75
2006-02-01,73.19,10.77,69.24,73.19,10.77,69.24,73.19
2006-02-02,72.15,10.3,68.39,72.15,10.3,68.39,72.15
2006-02-03,71.1,10.26,68.13,71.1,10.26,68.13,71.1
2006-02-06,71.17,9.61,68.7,71.17,9.61,68.7,71.17
2006-02-07,70.65,9.66,67.16,70.65,9.66,67.16,70.65
2006-02-08,71,9.83,68.81,71,9.83,68.81,71
2006-02-09,72.12,9.28,68.45,72.12,9.28,68.45,72.12
2006-02-10,72.61,9.62,68.75,72.61,9.62,68.75,72.61
2006-02-13,72.91,9.24,68.62,72.91,9.24,68.62,72.91
2006-02-14,73.7,9.66,70.22,73.7,9.66,70.22,73.7
2006-02-15,73.13,9.89,71.6,73.13,9.89,71.6,73.13
2006-02-16,73.05,10.08,71.96,73.05,10.08,71.96,73.05
2006-02-17,73.77,10.04,72.05,73.77,10.04,72.05,73.77
2006-02-21,73.2,9.87,72.59,73.2,9.87,72.59,73.2
2006-02-22,72.98,10.19,73.06,72.98,10.19,73.06,72.98
2006-02-23,73.65,10.25,72.35,73.65,10.25,72.35,73.65
2006-02-24,73.91,10.21,72.7,73.91,10.21,72.7,73.91
2006-02-27,73.69,10.14,73.5,73.69,10.14,73.5,73.69
2006-02-28,73.59,9.78,73.08,73.59,9.78,73.08,73.59
2006-03-01,73.67,9.87,74.39,73.67,9.87,74.39,73.67
2006-03-02,73.05,9.94,74.34,73.05,9.94,74.34,73.05
2006-03-03,72.88,9.67,74.61,72.88,9.67,74.61,72.88
2006-03-06,71.95,9.35,73.22,71.95,9.35,73.22,71.95
2006-03-07,72.27,9.47,73.04,72.27,9.47,73.04,72.27
2006-03-08,72.38,9.38,72.4,72.38,9.38,72.4,72.38
