Date,MMM,AAPL,CAT
2006-01-03,79.11,10.68,57.8
2006-01-04,78.71,10.71,59.27
2006-01-05,77.99,10.63,59.27
2006-01-06,78.63,10.9,60.45
2006-01-09,79.02,10.86,61.55
2006-01-10,78.53,11.55,61.3
2006-01-11,78.37,11.99,61.33
2006-01-12,77.7,12.04,62.21
2006-01-13,77.5,12.23,62.33
2006-01-17,77.09,12.1,62.96
2006-01-18,76.99,11.78,62.33
2006-01-19,76.91,11.29,62.51
2006-01-20,75.24,10.87,60.78
2006-01-23,75.7,11.1,61.04
2006-01-24,74.2,10.86,61.35
2006-01-25,73,10.6,62.07
2006-01-26,72.7,10.33,65.17
2006-01-27,72.65,10.29,67.53
2006-01-30,72.65,10.71,67.01
2006-01-31,72.75,10.79,67.9
2006-02-01,73.19,10.77,69.24
2006-02-02,72.15,10.3,68.39
2006-02-03,71.1,10.26,68.13
2006-02-06,71.17,9.61,68.7
2006-02-07,70.65,9.66,67.16
2006-02-08,71,9.83,68.81
2006-02-09,72.12,9.28,68.45
2006-02-10,72.61,9.62,68.75
2006-02-13,72.91,9.24,68.62
2006-02-14,73.7,9.66,70.22
2006-02-15,73.13,9.89,71.6
2006-02-16,73.05,10.08,71.96
2006-02-17,73.77,10.04,72.05
2006-02-21,73.2,9.87,72.59
2006-02-22,72.98,10.19,73.06
2006-02-23,73.65,10.25,72.35
2006-02-24,73.91,10.21,72.7
2006-02-27,73.69,10.14,73.5
2006-02-28,73.59,9.78,73.08
2006-03-01,73.67,9.87,74.39
2006-03-02,73.05,9.94,74.34
2006-03-03,72.88,9.67,74.61
2006-03-06,71.95,9.35,73.22
2006-03-07,72.27,9.47,73.04
2006-03-08,72.38,9.38,72.4
2006-03-09,71.8,9.13,71.4
2006-03-10,72.32,9.03,70.95
2006-03-13,72.09,9.38,71
2006-03-14,73.53,9.62,71.94
2006-03-15,74,9.46,74.29
2006-03-16,74.89,9.19,74.9
2006-03-17,74.79,9.24,76.23
2006-03-20,75,9.14,75.85
2006-03-21,74.93,8.83,74.31
2006-03-22,76.07,8.81,76.21
2006-03-23,76.77,8.59,76.26
2006-03-24,76.8,8.57,75.5
2006-03-27,76.84,8.5,75.38
2006-03-28,76.3,8.39,74.87
2006-03-29,77.56,8.9,73.67
2006-03-30,76.52,8.96,72.4
2006-03-31,75.69,8.96,71.81
2006-04-03,75.84,8.95,73.5
2006-04-04,77,8.74,75.3
2006-04-05,77.46,9.6,75.8
2006-04-06,81.38,10.18,75.65
2006-04-07,81.03,9.97,74.92
2006-04-10,80.98,9.81,75.45
2006-04-11,80.79,9.71,76.66
2006-04-12,81.1,9.53,77.84
2006-04-13,80.97,9.5,76.94
2006-04-17,80.26,9.26,76.45
2006-04-18,81.59,9.46,78.91
2006-04-19,81.88,9.38,78.97
2006-04-20,82.6,9.66,77.97
2006-04-21,85.06,9.58,77.87
2006-04-24,85.46,9.39,77.38
2006-04-25,84.81,9.45,74.93
2006-04-26,85.52,9.74,75.95
2006-04-27,85.23,9.91,75.06
2006-04-28,85.43,10.06,75.74
2006-05-01,84.97,9.94,75.63
2006-05-02,84.5,10.23,77.48
2006-05-03,85.9,10.16,78.1
2006-05-04,86.47,10.16,78.81
2006-05-05,87.3,10.27,79.98
2006-05-08,88.13,10.27,79.9
2006-05-09,87.58,10.15,81.14
2006-05-10,87.65,10.09,80.97
2006-05-11,87.17,9.74,79.62
2006-05-12,86.57,9.67,77.81
2006-05-15,87.12,9.68,77.47
2006-05-16,86.76,9.28,77.34
2006-05-17,84.42,9.32,75.91
2006-05-18,84.15,9.03,74.62
2006-05-19,84.31,9.22,72.78
2006-05-22,83.73,9.05,72.87
2006-05-23,83.44,9.02,73.72
2006-05-24,83.82,9.05,73.59
2006-05-25,83.26,9.19,73.96
2006-05-26,83.87,9.08,74.42
2006-05-30,83.46,8.75,72.16
2006-05-31,83.66,8.54,72.95
2006-06-01,84.51,8.88,73.29
2006-06-02,84.78,8.81,72.81
2006-06-05,82.95,8.57,69.33
2006-06-06,82.26,8.53,68.48
2006-06-07,80.34,8.37,66.74
2006-06-08,81.75,8.68,66.89
2006-06-09,80.57,8.46,67.52
2006-06-12,80.16,8.14,66.32
2006-06-13,79.96,8.33,66.33
2006-06-14,79.9,8.23,67.48
